po_number,supplier_id,supplier_name,part_number,expected_date,received_date,qty_ordered,qty_received,inbound_lead_time_days,discrepancy_qty
PO10775,SUP-003,Supplier C,MN-5544,2025-02-07,2025-02-12,357,332,5,25
PO10776,SUP-002,Supplier B,AX-4312,2024-10-03,2024-10-07,83,66,4,17
PO10777,SUP-001,Supplier A,AX-4312,2025-09-23,2025-10-01,276,248,8,28
PO10778,SUP-001,Supplier A,ZX-9910,2025-10-21,2025-10-25,91,71,4,20
PO10779,SUP-003,Supplier C,BR-2208,2024-03-08,2024-03-18,162,146,10,16
PO10780,SUP-003,Supplier C,ZX-9910,2025-06-23,2025-07-01,178,177,8,1
PO10781,SUP-002,Supplier B,AX-4312,2025-02-01,2025-02-02,59,20,1,39
PO10782,SUP-001,Supplier A,BR-2208,2024-06-16,2024-06-21,333,323,5,10
PO10783,SUP-003,Supplier C,ZX-9910,2025-05-16,2025-05-23,339,332,7,7
PO10784,SUP-003,Supplier C,MN-5544,2024-04-16,2024-04-27,263,256,11,7
PO10785,SUP-001,Supplier A,MN-5544,2025-07-09,2025-07-10,128,112,1,16
PO10786,SUP-002,Supplier B,ZX-9910,2024-09-29,2024-10-06,393,375,7,18
PO10787,SUP-001,Supplier A,BR-2208,2024-07-26,2024-07-31,136,100,5,36
PO10788,SUP-001,Supplier A,AX-4312,2025-05-26,2025-06-03,382,375,8,7
PO10789,SUP-001,Supplier A,MN-5544,2024-09-25,2024-10-04,136,136,9,0
PO10790,SUP-003,Supplier C,CL-7781,2024-08-16,2024-08-19,201,185,3,16
PO10791,SUP-001,Supplier A,BR-2208,2025-09-24,2025-09-29,197,177,5,20
PO10792,SUP-001,Supplier A,MN-5544,2025-11-01,2025-11-09,363,333,8,30
PO10793,SUP-003,Supplier C,AX-4312,2024-04-17,2024-04-21,188,174,4,14
PO10794,SUP-002,Supplier B,CL-7781,2024-04-09,2024-04-12,77,73,3,4
PO10795,SUP-003,Supplier C,MN-5544,2025-12-19,2025-12-24,399,368,5,31
PO10796,SUP-001,Supplier A,CL-7781,2025-05-22,2025-05-30,369,360,8,9
PO10797,SUP-001,Supplier A,CL-7781,2025-05-10,2025-05-16,160,129,6,31
PO10798,SUP-003,Supplier C,BR-2208,2025-02-17,2025-02-18,272,265,1,7
PO10799,SUP-003,Supplier C,AX-4312,2024-08-08,2024-08-16,378,377,8,1
PO10800,SUP-002,Supplier B,MN-5544,2025-05-10,2025-05-12,98,63,2,35
PO10801,SUP-001,Supplier A,BR-2208,2024-04-25,2024-04-29,127,103,4,24
PO10802,SUP-003,Supplier C,ZX-9910,2024-08-14,2024-08-24,168,159,10,9
PO10803,SUP-002,Supplier B,ZX-9910,2026-01-04,2026-01-09,213,202,5,11
PO10804,SUP-003,Supplier C,BR-2208,2026-02-16,2026-02-27,307,295,11,12
PO10805,SUP-002,Supplier B,BR-2208,2024-06-22,2024-06-27,209,179,5,30
PO10806,SUP-003,Supplier C,ZX-9910,2024-05-04,2024-05-06,60,51,2,9
PO10807,SUP-002,Supplier B,CL-7781,2025-08-12,2025-08-13,232,224,1,8
PO10808,SUP-002,Supplier B,AX-4312,2025-01-06,2025-01-15,364,351,9,13
PO10809,SUP-003,Supplier C,CL-7781,2025-02-09,2025-02-19,163,142,10,21
PO10810,SUP-002,Supplier B,CL-7781,2025-04-20,2025-04-24,262,231,4,31
PO10811,SUP-002,Supplier B,ZX-9910,2025-11-07,2025-11-10,223,203,3,20
PO10812,SUP-003,Supplier C,AX-4312,2024-11-05,2024-11-08,171,140,3,31
PO10813,SUP-002,Supplier B,MN-5544,2024-05-17,2024-05-24,88,77,7,11
PO10814,SUP-002,Supplier B,CL-7781,2024-12-04,2024-12-13,67,47,9,20
PO10815,SUP-003,Supplier C,BR-2208,2024-11-07,2024-11-12,175,168,5,7
PO10816,SUP-003,Supplier C,MN-5544,2024-05-07,2024-05-15,287,281,8,6
PO10817,SUP-003,Supplier C,MN-5544,2026-02-08,2026-02-15,285,254,7,31
PO10818,SUP-002,Supplier B,ZX-9910,2025-07-31,2025-08-11,305,284,11,21
PO10819,SUP-002,Supplier B,AX-4312,2025-05-06,2025-05-12,284,260,6,24
PO10820,SUP-001,Supplier A,ZX-9910,2025-01-11,2025-01-17,397,369,6,28
PO10821,SUP-003,Supplier C,ZX-9910,2025-11-21,2025-11-23,307,279,2,28
PO10822,SUP-003,Supplier C,CL-7781,2024-09-23,2024-09-28,332,302,5,30
PO10823,SUP-003,Supplier C,BR-2208,2024-04-28,2024-05-01,137,125,3,12
PO10824,SUP-001,Supplier A,MN-5544,2025-01-28,2025-02-03,220,184,6,36
PO10825,SUP-002,Supplier B,CL-7781,2025-03-11,2025-03-12,233,231,1,2
PO10826,SUP-001,Supplier A,ZX-9910,2024-06-27,2024-07-03,68,46,6,22
PO10827,SUP-001,Supplier A,AX-4312,2025-02-22,2025-03-01,157,133,7,24
PO10828,SUP-001,Supplier A,BR-2208,2025-10-08,2025-10-13,160,153,5,7
PO10829,SUP-001,Supplier A,MN-5544,2024-11-08,2024-11-18,235,220,10,15
PO10830,SUP-002,Supplier B,MN-5544,2025-06-09,2025-06-17,178,174,8,4
PO10831,SUP-003,Supplier C,ZX-9910,2025-05-31,2025-06-03,153,119,3,34
PO10832,SUP-003,Supplier C,BR-2208,2025-04-14,2025-04-24,59,39,10,20
PO10833,SUP-003,Supplier C,BR-2208,2025-08-03,2025-08-10,268,242,7,26
PO10834,SUP-003,Supplier C,BR-2208,2025-02-05,2025-02-07,161,149,2,12
PO10835,SUP-001,Supplier A,ZX-9910,2026-02-03,2026-02-12,135,110,9,25
PO10836,SUP-002,Supplier B,ZX-9910,2024-07-08,2024-07-18,103,92,10,11
PO10837,SUP-001,Supplier A,ZX-9910,2025-12-27,2025-12-28,63,30,1,33
PO10838,SUP-001,Supplier A,CL-7781,2026-02-21,2026-02-26,69,59,5,10
PO10839,SUP-002,Supplier B,CL-7781,2024-07-09,2024-07-12,272,267,3,5
PO10840,SUP-002,Supplier B,MN-5544,2025-12-27,2026-01-04,260,224,8,36
PO10841,SUP-001,Supplier A,AX-4312,2025-12-13,2025-12-23,181,178,10,3
PO10842,SUP-003,Supplier C,MN-5544,2024-03-15,2024-03-19,73,39,4,34
PO10843,SUP-001,Supplier A,CL-7781,2025-10-07,2025-10-17,342,305,10,37
PO10844,SUP-002,Supplier B,BR-2208,2024-11-21,2024-11-26,359,320,5,39
PO10845,SUP-002,Supplier B,ZX-9910,2024-06-24,2024-07-01,251,214,7,37
PO10846,SUP-001,Supplier A,BR-2208,2024-05-20,2024-05-24,237,218,4,19
PO10847,SUP-001,Supplier A,CL-7781,2026-02-12,2026-02-13,168,162,1,6
PO10848,SUP-001,Supplier A,BR-2208,2025-06-22,2025-06-26,270,257,4,13
PO10849,SUP-003,Supplier C,ZX-9910,2024-09-29,2024-10-02,265,229,3,36
PO10850,SUP-002,Supplier B,ZX-9910,2024-05-03,2024-05-13,104,101,10,3
PO10851,SUP-002,Supplier B,MN-5544,2024-05-13,2024-05-21,303,280,8,23
PO10852,SUP-002,Supplier B,CL-7781,2025-05-08,2025-05-10,207,190,2,17
PO10853,SUP-003,Supplier C,BR-2208,2024-09-21,2024-09-24,208,190,3,18
PO10854,SUP-003,Supplier C,CL-7781,2026-01-08,2026-01-09,368,350,1,18
PO10855,SUP-001,Supplier A,AX-4312,2025-03-19,2025-03-25,201,190,6,11
PO10856,SUP-002,Supplier B,BR-2208,2025-05-24,2025-06-03,166,136,10,30
PO10857,SUP-003,Supplier C,BR-2208,2024-05-27,2024-05-31,241,223,4,18
PO10858,SUP-002,Supplier B,BR-2208,2025-08-09,2025-08-13,399,367,4,32
PO10859,SUP-002,Supplier B,BR-2208,2024-03-04,2024-03-06,368,341,2,27
PO10860,SUP-003,Supplier C,ZX-9910,2024-11-15,2024-11-26,352,342,11,10
PO10861,SUP-003,Supplier C,MN-5544,2024-11-02,2024-11-11,167,135,9,32
PO10862,SUP-003,Supplier C,BR-2208,2025-01-27,2025-01-28,247,244,1,3
PO10863,SUP-003,Supplier C,AX-4312,2024-12-31,2025-01-04,289,263,4,26
PO10864,SUP-002,Supplier B,ZX-9910,2025-12-24,2025-12-30,96,83,6,13
PO10865,SUP-003,Supplier C,BR-2208,2026-01-14,2026-01-25,186,161,11,25
PO10866,SUP-003,Supplier C,AX-4312,2025-09-05,2025-09-10,110,101,5,9
PO10867,SUP-002,Supplier B,BR-2208,2024-04-01,2024-04-03,308,296,2,12
PO10868,SUP-001,Supplier A,MN-5544,2024-05-07,2024-05-18,162,133,11,29
PO10869,SUP-001,Supplier A,MN-5544,2024-03-31,2024-04-06,247,231,6,16
PO10870,SUP-001,Supplier A,MN-5544,2025-12-18,2025-12-29,100,82,11,18
PO10871,SUP-002,Supplier B,BR-2208,2024-03-18,2024-03-28,84,59,10,25
PO10872,SUP-002,Supplier B,CL-7781,2024-04-25,2024-04-28,118,90,3,28
PO10873,SUP-003,Supplier C,BR-2208,2025-03-26,2025-03-31,98,78,5,20
PO10874,SUP-003,Supplier C,BR-2208,2025-12-14,2025-12-24,241,237,10,4
PO10875,SUP-002,Supplier B,BR-2208,2026-01-29,2026-02-02,119,94,4,25
PO10876,SUP-002,Supplier B,BR-2208,2026-01-12,2026-01-16,175,137,4,38
PO10877,SUP-002,Supplier B,ZX-9910,2024-04-20,2024-04-27,178,155,7,23
PO10878,SUP-003,Supplier C,MN-5544,2025-11-18,2025-11-27,149,144,9,5
PO10879,SUP-002,Supplier B,CL-7781,2025-04-28,2025-05-07,231,201,9,30
PO10880,SUP-001,Supplier A,CL-7781,2024-03-01,2024-03-05,201,177,4,24
PO10881,SUP-003,Supplier C,AX-4312,2025-04-08,2025-04-12,262,233,4,29
PO10882,SUP-002,Supplier B,MN-5544,2025-05-17,2025-05-25,155,126,8,29
PO10883,SUP-001,Supplier A,MN-5544,2025-12-03,2025-12-09,269,263,6,6
PO10884,SUP-002,Supplier B,AX-4312,2026-02-17,2026-02-20,269,256,3,13
PO10885,SUP-002,Supplier B,MN-5544,2024-04-02,2024-04-10,385,370,8,15
PO10886,SUP-001,Supplier A,AX-4312,2025-07-28,2025-08-03,155,131,6,24
PO10887,SUP-002,Supplier B,MN-5544,2024-05-23,2024-05-29,93,85,6,8
PO10888,SUP-003,Supplier C,MN-5544,2025-07-14,2025-07-18,233,214,4,19
PO10889,SUP-003,Supplier C,ZX-9910,2024-12-14,2024-12-16,299,279,2,20
PO10890,SUP-003,Supplier C,AX-4312,2024-12-23,2024-12-27,227,195,4,32
PO10891,SUP-003,Supplier C,ZX-9910,2024-04-07,2024-04-18,56,51,11,5
PO10892,SUP-001,Supplier A,MN-5544,2025-02-06,2025-02-08,209,199,2,10
PO10893,SUP-003,Supplier C,ZX-9910,2025-08-26,2025-08-30,192,186,4,6
PO10894,SUP-003,Supplier C,MN-5544,2025-05-17,2025-05-22,203,190,5,13
PO10895,SUP-002,Supplier B,AX-4312,2025-04-09,2025-04-18,214,194,9,20
PO10896,SUP-002,Supplier B,ZX-9910,2025-10-28,2025-10-30,118,116,2,2
PO10897,SUP-003,Supplier C,MN-5544,2024-10-04,2024-10-11,267,231,7,36
PO10898,SUP-003,Supplier C,BR-2208,2025-05-01,2025-05-09,354,336,8,18
PO10899,SUP-001,Supplier A,MN-5544,2026-02-20,2026-02-23,394,374,3,20
PO10900,SUP-003,Supplier C,CL-7781,2025-11-13,2025-11-22,210,207,9,3
PO10901,SUP-002,Supplier B,MN-5544,2024-08-25,2024-09-04,376,355,10,21
PO10902,SUP-002,Supplier B,CL-7781,2025-04-11,2025-04-18,338,322,7,16
PO10903,SUP-001,Supplier A,BR-2208,2024-06-13,2024-06-21,110,77,8,33
PO10904,SUP-003,Supplier C,CL-7781,2025-06-21,2025-07-01,92,54,10,38
PO10905,SUP-001,Supplier A,ZX-9910,2024-04-01,2024-04-07,226,210,6,16
PO10906,SUP-002,Supplier B,AX-4312,2024-11-20,2024-11-22,247,214,2,33
PO10907,SUP-002,Supplier B,MN-5544,2025-01-30,2025-01-31,379,359,1,20
PO10908,SUP-003,Supplier C,ZX-9910,2025-12-27,2026-01-01,51,30,5,21
PO10909,SUP-002,Supplier B,BR-2208,2024-08-20,2024-08-29,115,106,9,9
PO10910,SUP-001,Supplier A,ZX-9910,2025-05-11,2025-05-13,193,155,2,38
PO10911,SUP-003,Supplier C,MN-5544,2025-07-21,2025-07-27,125,102,6,23
PO10912,SUP-001,Supplier A,MN-5544,2024-12-01,2024-12-09,343,334,8,9
PO10913,SUP-001,Supplier A,MN-5544,2025-06-20,2025-06-23,241,210,3,31
PO10914,SUP-003,Supplier C,MN-5544,2024-10-09,2024-10-16,326,307,7,19
PO10915,SUP-001,Supplier A,BR-2208,2024-07-24,2024-08-03,117,96,10,21
PO10916,SUP-003,Supplier C,CL-7781,2026-02-20,2026-02-28,281,261,8,20
PO10917,SUP-001,Supplier A,CL-7781,2025-09-23,2025-09-29,165,138,6,27
PO10918,SUP-001,Supplier A,AX-4312,2024-11-03,2024-11-14,217,190,11,27
PO10919,SUP-002,Supplier B,BR-2208,2025-05-07,2025-05-17,115,91,10,24
PO10920,SUP-003,Supplier C,ZX-9910,2024-07-08,2024-07-16,303,301,8,2
PO10921,SUP-001,Supplier A,AX-4312,2025-03-05,2025-03-13,93,61,8,32
PO10922,SUP-002,Supplier B,BR-2208,2024-11-22,2024-12-02,276,271,10,5
PO10923,SUP-001,Supplier A,MN-5544,2025-07-27,2025-08-03,328,304,7,24
PO10924,SUP-003,Supplier C,AX-4312,2024-09-24,2024-10-05,227,209,11,18
PO10925,SUP-002,Supplier B,AX-4312,2024-06-03,2024-06-08,356,346,5,10
PO10926,SUP-001,Supplier A,MN-5544,2025-12-30,2026-01-07,317,308,8,9
PO10927,SUP-003,Supplier C,ZX-9910,2024-11-28,2024-12-06,346,311,8,35
PO10928,SUP-001,Supplier A,AX-4312,2024-08-14,2024-08-19,134,127,5,7
PO10929,SUP-001,Supplier A,BR-2208,2024-03-16,2024-03-23,96,82,7,14
PO10930,SUP-002,Supplier B,MN-5544,2024-12-06,2024-12-14,259,240,8,19
PO10931,SUP-002,Supplier B,CL-7781,2026-01-16,2026-01-22,317,316,6,1
PO10932,SUP-002,Supplier B,AX-4312,2025-02-25,2025-03-04,385,383,7,2
PO10933,SUP-003,Supplier C,ZX-9910,2025-08-12,2025-08-15,332,293,3,39
PO10934,SUP-003,Supplier C,ZX-9910,2025-09-25,2025-10-01,269,269,6,0
PO10935,SUP-003,Supplier C,ZX-9910,2026-01-29,2026-02-05,57,21,7,36
PO10936,SUP-001,Supplier A,BR-2208,2025-07-03,2025-07-14,150,147,11,3
PO10937,SUP-003,Supplier C,BR-2208,2024-04-04,2024-04-10,295,277,6,18
PO10938,SUP-002,Supplier B,BR-2208,2026-02-12,2026-02-21,61,51,9,10
PO10939,SUP-003,Supplier C,BR-2208,2024-11-24,2024-12-01,65,65,7,0
PO10940,SUP-001,Supplier A,BR-2208,2025-10-29,2025-11-05,70,41,7,29
PO10941,SUP-001,Supplier A,ZX-9910,2025-11-07,2025-11-09,309,282,2,27
PO10942,SUP-003,Supplier C,CL-7781,2024-07-18,2024-07-24,272,246,6,26
PO10943,SUP-001,Supplier A,BR-2208,2025-01-20,2025-01-25,74,72,5,2
PO10944,SUP-002,Supplier B,CL-7781,2024-07-25,2024-07-26,245,221,1,24
PO10945,SUP-003,Supplier C,ZX-9910,2025-05-16,2025-05-20,203,199,4,4
PO10946,SUP-002,Supplier B,ZX-9910,2025-10-14,2025-10-17,238,211,3,27
PO10947,SUP-001,Supplier A,AX-4312,2024-04-02,2024-04-11,183,165,9,18
PO10948,SUP-002,Supplier B,CL-7781,2025-08-09,2025-08-18,262,239,9,23
PO10949,SUP-002,Supplier B,BR-2208,2025-11-18,2025-11-20,180,169,2,11
PO10950,SUP-003,Supplier C,MN-5544,2024-11-16,2024-11-26,326,299,10,27
PO10951,SUP-003,Supplier C,MN-5544,2025-08-14,2025-08-22,267,235,8,32
PO10952,SUP-001,Supplier A,ZX-9910,2026-01-31,2026-02-05,212,179,5,33
PO10953,SUP-001,Supplier A,BR-2208,2025-04-10,2025-04-19,356,339,9,17
PO10954,SUP-003,Supplier C,ZX-9910,2025-04-09,2025-04-19,124,102,10,22
PO10955,SUP-002,Supplier B,ZX-9910,2024-06-24,2024-06-30,322,318,6,4
PO10956,SUP-002,Supplier B,AX-4312,2025-04-28,2025-05-09,399,385,11,14
PO10957,SUP-001,Supplier A,CL-7781,2024-10-29,2024-11-09,338,319,11,19
PO10958,SUP-002,Supplier B,ZX-9910,2026-02-27,2026-03-01,115,81,2,34
PO10959,SUP-001,Supplier A,ZX-9910,2024-11-24,2024-12-02,297,270,8,27
PO10960,SUP-001,Supplier A,AX-4312,2025-10-29,2025-11-05,250,231,7,19
PO10961,SUP-003,Supplier C,ZX-9910,2024-09-11,2024-09-12,296,274,1,22
PO10962,SUP-003,Supplier C,AX-4312,2025-08-30,2025-09-02,53,29,3,24
PO10963,SUP-003,Supplier C,AX-4312,2024-06-13,2024-06-19,192,172,6,20
PO10964,SUP-001,Supplier A,AX-4312,2024-12-22,2024-12-25,362,349,3,13
PO10965,SUP-003,Supplier C,BR-2208,2024-05-24,2024-05-28,88,80,4,8
PO10966,SUP-003,Supplier C,ZX-9910,2024-04-21,2024-04-24,301,289,3,12
PO10967,SUP-003,Supplier C,CL-7781,2026-01-26,2026-01-28,164,132,2,32
PO10968,SUP-001,Supplier A,CL-7781,2025-03-14,2025-03-20,300,274,6,26
PO10969,SUP-001,Supplier A,CL-7781,2025-08-22,2025-08-29,140,107,7,33
PO10970,SUP-002,Supplier B,CL-7781,2025-07-16,2025-07-24,95,58,8,37
PO10971,SUP-002,Supplier B,AX-4312,2025-08-27,2025-08-31,377,343,4,34
PO10972,SUP-001,Supplier A,CL-7781,2024-03-01,2024-03-04,79,66,3,13
PO10973,SUP-003,Supplier C,ZX-9910,2024-04-17,2024-04-28,133,109,11,24
PO10974,SUP-003,Supplier C,BR-2208,2025-08-21,2025-08-29,393,380,8,13
PO10975,SUP-003,Supplier C,AX-4312,2024-09-26,2024-10-06,151,129,10,22
PO10976,SUP-002,Supplier B,MN-5544,2024-11-23,2024-11-29,132,130,6,2
PO10977,SUP-002,Supplier B,AX-4312,2024-12-22,2025-01-01,324,316,10,8
PO10978,SUP-002,Supplier B,CL-7781,2024-03-31,2024-04-04,222,216,4,6
PO10979,SUP-001,Supplier A,AX-4312,2024-03-31,2024-04-09,300,282,9,18
PO10980,SUP-001,Supplier A,MN-5544,2024-08-07,2024-08-11,169,132,4,37
PO10981,SUP-001,Supplier A,MN-5544,2025-11-11,2025-11-16,366,331,5,35
PO10982,SUP-001,Supplier A,AX-4312,2024-06-22,2024-06-30,335,327,8,8
PO10983,SUP-002,Supplier B,BR-2208,2025-09-15,2025-09-16,357,333,1,24
PO10984,SUP-003,Supplier C,BR-2208,2024-06-18,2024-06-29,358,324,11,34
PO10985,SUP-003,Supplier C,MN-5544,2024-12-05,2024-12-14,383,354,9,29
PO10986,SUP-002,Supplier B,CL-7781,2026-01-26,2026-02-04,245,242,9,3
PO10987,SUP-001,Supplier A,MN-5544,2025-03-20,2025-03-28,51,30,8,21
PO10988,SUP-003,Supplier C,AX-4312,2024-11-01,2024-11-10,169,154,9,15
PO10989,SUP-003,Supplier C,MN-5544,2026-02-26,2026-02-27,207,196,1,11
PO10990,SUP-001,Supplier A,BR-2208,2024-08-05,2024-08-08,316,296,3,20
PO10991,SUP-003,Supplier C,CL-7781,2024-05-15,2024-05-20,374,355,5,19
PO10992,SUP-001,Supplier A,ZX-9910,2025-12-12,2025-12-17,221,189,5,32
PO10993,SUP-001,Supplier A,AX-4312,2025-04-30,2025-05-05,250,242,5,8
PO10994,SUP-001,Supplier A,MN-5544,2026-02-01,2026-02-05,84,68,4,16
PO10995,SUP-001,Supplier A,AX-4312,2024-08-12,2024-08-14,265,234,2,31
PO10996,SUP-002,Supplier B,CL-7781,2025-09-08,2025-09-09,57,35,1,22
PO10997,SUP-002,Supplier B,AX-4312,2024-11-09,2024-11-17,381,370,8,11
PO10998,SUP-001,Supplier A,AX-4312,2025-04-08,2025-04-17,196,171,9,25
PO10999,SUP-001,Supplier A,CL-7781,2024-08-02,2024-08-06,142,121,4,21
PO11000,SUP-001,Supplier A,ZX-9910,2025-02-15,2025-02-23,70,33,8,37
PO11001,SUP-002,Supplier B,BR-2208,2026-02-11,2026-02-15,206,203,4,3
PO11002,SUP-001,Supplier A,ZX-9910,2025-03-04,2025-03-11,397,370,7,27
PO11003,SUP-003,Supplier C,MN-5544,2025-09-09,2025-09-13,125,123,4,2
PO11004,SUP-001,Supplier A,MN-5544,2024-04-29,2024-05-05,243,220,6,23
PO11005,SUP-003,Supplier C,ZX-9910,2025-03-08,2025-03-10,396,396,2,0
PO11006,SUP-002,Supplier B,ZX-9910,2024-05-09,2024-05-17,136,99,8,37
PO11007,SUP-002,Supplier B,MN-5544,2024-05-05,2024-05-11,263,239,6,24
PO11008,SUP-002,Supplier B,BR-2208,2025-07-29,2025-07-31,110,99,2,11
PO11009,SUP-001,Supplier A,CL-7781,2025-07-04,2025-07-10,267,241,6,26
PO11010,SUP-002,Supplier B,BR-2208,2025-09-28,2025-10-06,142,108,8,34
PO11011,SUP-001,Supplier A,ZX-9910,2025-04-03,2025-04-11,191,157,8,34
PO11012,SUP-002,Supplier B,BR-2208,2025-10-08,2025-10-12,361,349,4,12
PO11013,SUP-002,Supplier B,BR-2208,2025-11-13,2025-11-19,98,91,6,7
PO11014,SUP-002,Supplier B,AX-4312,2024-10-10,2024-10-21,139,101,11,38
PO11015,SUP-002,Supplier B,MN-5544,2025-07-18,2025-07-23,294,286,5,8
PO11016,SUP-003,Supplier C,CL-7781,2025-08-14,2025-08-22,86,70,8,16
PO11017,SUP-003,Supplier C,BR-2208,2024-04-05,2024-04-13,326,288,8,38
PO11018,SUP-001,Supplier A,ZX-9910,2024-11-26,2024-12-03,90,52,7,38
PO11019,SUP-003,Supplier C,MN-5544,2025-10-07,2025-10-18,196,186,11,10
PO11020,SUP-002,Supplier B,MN-5544,2024-08-21,2024-08-22,217,199,1,18
PO11021,SUP-003,Supplier C,ZX-9910,2024-08-22,2024-08-30,158,147,8,11
PO11022,SUP-002,Supplier B,CL-7781,2024-07-03,2024-07-04,350,325,1,25
PO11023,SUP-002,Supplier B,CL-7781,2025-02-25,2025-03-04,299,295,7,4
PO11024,SUP-003,Supplier C,MN-5544,2024-10-22,2024-10-30,202,176,8,26
PO11025,SUP-002,Supplier B,CL-7781,2024-08-08,2024-08-15,207,185,7,22
PO11026,SUP-002,Supplier B,BR-2208,2024-06-29,2024-06-30,224,205,1,19
PO11027,SUP-002,Supplier B,BR-2208,2024-03-23,2024-03-25,195,194,2,1
PO11028,SUP-001,Supplier A,ZX-9910,2025-02-28,2025-03-04,210,175,4,35
PO11029,SUP-003,Supplier C,MN-5544,2025-10-19,2025-10-21,196,169,2,27
PO11030,SUP-001,Supplier A,AX-4312,2024-06-29,2024-07-07,133,101,8,32
PO11031,SUP-001,Supplier A,CL-7781,2025-03-15,2025-03-25,292,278,10,14
PO11032,SUP-001,Supplier A,BR-2208,2024-06-10,2024-06-19,307,279,9,28
PO11033,SUP-002,Supplier B,CL-7781,2024-10-17,2024-10-26,251,250,9,1
PO11034,SUP-003,Supplier C,CL-7781,2024-03-04,2024-03-07,380,368,3,12
PO11035,SUP-002,Supplier B,CL-7781,2025-09-04,2025-09-14,259,251,10,8
PO11036,SUP-002,Supplier B,ZX-9910,2025-02-18,2025-02-27,88,61,9,27
PO11037,SUP-003,Supplier C,CL-7781,2025-02-24,2025-02-27,133,128,3,5
PO11038,SUP-003,Supplier C,CL-7781,2025-10-14,2025-10-25,166,165,11,1
PO11039,SUP-001,Supplier A,BR-2208,2026-02-10,2026-02-16,399,360,6,39
PO11040,SUP-003,Supplier C,BR-2208,2025-11-22,2025-11-24,130,119,2,11
PO11041,SUP-003,Supplier C,ZX-9910,2024-03-31,2024-04-03,284,284,3,0
PO11042,SUP-002,Supplier B,MN-5544,2025-09-01,2025-09-08,350,336,7,14
PO11043,SUP-001,Supplier A,CL-7781,2024-05-17,2024-05-27,262,232,10,30
PO11044,SUP-003,Supplier C,CL-7781,2025-12-28,2026-01-06,328,305,9,23
PO11045,SUP-001,Supplier A,BR-2208,2025-04-12,2025-04-21,343,316,9,27
PO11046,SUP-002,Supplier B,BR-2208,2024-05-25,2024-05-30,156,139,5,17
PO11047,SUP-001,Supplier A,BR-2208,2024-05-02,2024-05-06,148,140,4,8
PO11048,SUP-001,Supplier A,MN-5544,2024-05-28,2024-06-02,171,142,5,29
PO11049,SUP-001,Supplier A,ZX-9910,2025-08-02,2025-08-04,337,335,2,2
PO11050,SUP-002,Supplier B,BR-2208,2025-04-25,2025-04-28,205,191,3,14
PO11051,SUP-001,Supplier A,BR-2208,2026-02-06,2026-02-15,112,90,9,22
PO11052,SUP-001,Supplier A,AX-4312,2024-05-10,2024-05-18,124,93,8,31
PO11053,SUP-002,Supplier B,ZX-9910,2024-07-07,2024-07-17,362,327,10,35
PO11054,SUP-001,Supplier A,MN-5544,2025-03-13,2025-03-14,216,183,1,33
PO11055,SUP-003,Supplier C,BR-2208,2025-07-19,2025-07-27,205,169,8,36
PO11056,SUP-003,Supplier C,MN-5544,2025-12-10,2025-12-17,245,209,7,36
PO11057,SUP-001,Supplier A,CL-7781,2025-10-12,2025-10-20,370,370,8,0
PO11058,SUP-001,Supplier A,MN-5544,2025-08-21,2025-08-25,324,296,4,28
PO11059,SUP-001,Supplier A,ZX-9910,2024-05-02,2024-05-12,175,165,10,10
PO11060,SUP-001,Supplier A,AX-4312,2024-10-20,2024-10-21,343,339,1,4
PO11061,SUP-001,Supplier A,AX-4312,2024-04-18,2024-04-26,225,214,8,11
PO11062,SUP-002,Supplier B,MN-5544,2025-04-19,2025-04-25,370,340,6,30
PO11063,SUP-001,Supplier A,MN-5544,2024-07-08,2024-07-12,162,158,4,4
PO11064,SUP-001,Supplier A,AX-4312,2025-10-08,2025-10-16,393,391,8,2
PO11065,SUP-003,Supplier C,MN-5544,2024-06-09,2024-06-20,94,91,11,3
PO11066,SUP-002,Supplier B,AX-4312,2024-05-11,2024-05-21,204,178,10,26
PO11067,SUP-002,Supplier B,MN-5544,2025-08-24,2025-09-03,100,95,10,5
PO11068,SUP-003,Supplier C,CL-7781,2024-05-25,2024-06-05,174,160,11,14
PO11069,SUP-001,Supplier A,CL-7781,2025-02-01,2025-02-06,79,43,5,36
PO11070,SUP-001,Supplier A,MN-5544,2025-03-24,2025-04-03,174,138,10,36
PO11071,SUP-002,Supplier B,MN-5544,2025-03-31,2025-04-10,173,137,10,36
PO11072,SUP-001,Supplier A,AX-4312,2024-03-11,2024-03-14,136,131,3,5
PO11073,SUP-003,Supplier C,AX-4312,2025-01-21,2025-01-25,323,315,4,8
PO11074,SUP-002,Supplier B,AX-4312,2026-02-18,2026-02-19,334,322,1,12
PO11075,SUP-003,Supplier C,MN-5544,2026-02-18,2026-03-01,175,159,11,16
PO11076,SUP-003,Supplier C,MN-5544,2025-03-11,2025-03-17,117,113,6,4
PO11077,SUP-002,Supplier B,AX-4312,2024-03-06,2024-03-11,354,342,5,12
PO11078,SUP-002,Supplier B,MN-5544,2025-11-03,2025-11-05,391,369,2,22
PO11079,SUP-002,Supplier B,BR-2208,2025-02-01,2025-02-04,91,58,3,33
PO11080,SUP-002,Supplier B,CL-7781,2025-09-23,2025-09-26,299,279,3,20
PO11081,SUP-002,Supplier B,BR-2208,2024-09-10,2024-09-15,349,339,5,10
PO11082,SUP-001,Supplier A,MN-5544,2025-01-20,2025-01-27,373,373,7,0
